design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,1000,ppipp_soft,10,0.0074149808421512375,-0.0005140815785386836,0.002214133839312264,0.898,0.007737697430743154,500
srs,1000,ppipp_soft,12,0.016596851362887376,-0.00016499548775917376,0.0023557013793696143,0.946,0.00934420559770136,500
srs,1000,ppipp_soft,13,0.007931150860614243,-8.915086061424267e-05,0.00279445591769637,0.892,0.010749214570832142,500
srs,1000,stratppi,2,0.1908141589406603,-0.00036869488005264033,0.006427404842771877,0.938,0.024623140809525892,500
srs,1000,stratppi,3,0.020577316312957852,0.00010169308386156738,0.0025248998422300766,0.93,0.009445788211329896,500
srs,1000,stratppi,4,0.20052212582636836,-0.0003183918093852587,0.006718536923768022,0.94,0.02534143888809365,500
srs,1000,stratppi,5,0.011832205038613488,-0.0003340219875066112,0.0030748710337696813,0.902,0.011071595835109853,500
srs,1000,stratppi,6,0.1948343292767664,-0.00016347689634325607,0.008247962389281304,0.932,0.03094208527421491,500
srs,1000,stratppi,7,0.016596851362887376,-0.00019479123370611144,0.0034861887027511727,0.936,0.013394091534832389,500
srs,1000,stratppi,8,0.3328800301760934,-0.0003092005536170869,0.0028019476801376376,0.924,0.01039181201168706,500
srs,1000,stratppi,10,0.0074149808421512375,-6.713692811480416e-05,0.002125000752068269,0.92,0.007658182062062701,500
srs,1000,stratppi,12,0.016596851362887376,8.680067649122058e-05,0.002109028160207372,0.948,0.008577891600731661,500
srs,1000,stratppi,13,0.007931150860614243,-1.409854133781875e-05,0.0026982426892020375,0.924,0.01029598034711688,500
srs,1000,xppi_aef,2,0.1908141589406603,-0.00020590892292747187,0.007733980723120203,0.93,0.029791296790721688,100
srs,1000,xppi_aef,3,0.020577316312957852,0.00011950681495086913,0.0035325568875373063,0.94,0.013376164218326863,100
srs,1000,xppi_aef,4,0.20052212582636836,0.0003013255523602179,0.007924556334501256,0.96,0.02937733906591378,100
srs,1000,xppi_aef,5,0.011832205038613488,-0.00019220513315527886,0.003186682273884988,0.94,0.013335486200352901,100
srs,1000,xppi_aef,6,0.1948343292767664,7.136976513317989e-05,0.009515701934619496,0.95,0.036696704080588644,100
srs,1000,xppi_aef,7,0.016596851362887376,-0.0002729991364964917,0.0037244423060823653,0.93,0.015204050479753933,100
srs,1000,xppi_aef,8,0.3328800301760934,-0.0003298672166484945,0.004111620216933076,0.96,0.01784292701293201,100
srs,1000,xppi_aef,10,0.0074149808421512375,0.00038680135287748324,0.002708171333836029,0.92,0.009719516080538034,100
srs,1000,xppi_aef,12,0.016596851362887376,0.00045043237963782575,0.002174369888381845,0.97,0.009765207665797379,100
srs,1000,xppi_aef,13,0.007931150860614243,-0.00032845545573188204,0.0026633726426771504,0.94,0.010825829562537297,100
srs,1000,xppi_pcal,2,0.1908141589406603,0.0005019930879878057,0.007472188819006857,0.92,0.028519011246618563,100
srs,1000,xppi_pcal,3,0.020577316312957852,7.655956919755217e-05,0.0029576288190498734,0.91,0.01126300806650091,100
srs,1000,xppi_pcal,4,0.20052212582636836,-0.00017368264868495797,0.0066440458271021414,0.97,0.027913063323888796,100
srs,1000,xppi_pcal,5,0.011832205038613488,0.00017316050702359783,0.00290782703848867,0.96,0.012274359538449181,100
srs,1000,xppi_pcal,6,0.1948343292767664,-0.00010786492395957997,0.009194045346414895,0.95,0.034243398095584056,100
srs,1000,xppi_pcal,7,0.016596851362887376,-0.00015602472084097865,0.003470846727860375,0.96,0.014474539678166426,100
srs,1000,xppi_pcal,8,0.3328800301760934,-0.00032092765895795405,0.004087917905681593,0.97,0.0171524327671366,100
srs,1000,xppi_pcal,10,0.0074149808421512375,0.0002400684781812698,0.0022048224363742062,0.94,0.008776910379477459,100
srs,1000,xppi_pcal,12,0.016596851362887376,5.20256946196993e-05,0.0023433583893053616,0.97,0.009504417896038612,100
srs,1000,xppi_pcal,13,0.007931150860614243,-0.0002853073845665019,0.0026464707438910795,0.93,0.01079594912162489,100
srs,3000,classical,2,0.1908141589406603,-0.00011682560732697767,0.006705705448039055,0.956,0.02810881031639966,500
srs,3000,classical,3,0.020577316312957852,-3.198297962451904e-05,0.002608377746136709,0.952,0.01013112593834611,500
srs,3000,classical,4,0.20052212582636836,0.00031920750696497527,0.007131794731985032,0.956,0.02866510506629166,500
